,Year,Month,Day,Temp,DayOfYear
count,32439.0,32439.0,32439.0,32439.0,32439.0
mean,2006.2829926939794,6.462837941983415,15.71534264311477,14.591294429544737,181.27836863035236
std,7.267450529535492,3.452579905989846,8.80099266643383,13.264285997060187,105.54969315558384
min,1995.0,1.0,1.0,-72.77777777777777,1.0
25%,2000.0,3.0,8.0,11.222222222222223,90.0
50%,2006.0,6.0,16.0,15.88888888888889,180.0
75%,2012.0,9.0,23.0,20.88888888888889,273.0
max,2020.0,12.0,31.0,35.22222222222222,366.0
